comment,"OptiTrack Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: A comment. You can ignore this information"
comment,"== info: Reports the file format version number, the number of rigid body definitions, and"
comment,"==       total number of exported frames"
comment,"== rigidbody: Details a rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Rigid Body Count (integer) number of rigid bodies tracked in current frame"
comment,"==    -- Rigid Body ID, Position, Quaternion Orientation, and Euler Angle Orientation >for each tracked rigid body< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visible markers in frame"
comment,"==    -- Marker Detail >for each reconstructed 3D marker< (x,y,z,id,name)"
comment,"== rigidbody: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Rigid Body Marker Location and ID >for each marker in rigid body< (x,y,z,id)"
comment,"==    -- Point Cloud Marker corresponding to each rigid body marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,version,1.1
info,framecount,6288
info,rigidbodycount,0
frame,0,0.00000000,0,11,-0.53905523,0.16498312,0.86818099,54706,Marker-54706,-0.76101220,0.28881541,0.84152597,54787,Marker-54787,-0.58213055,0.35757542,1.15309370,54808,Marker-54808,-0.88511133,0.21006176,0.98851717,54732,Marker-54732,-0.73763055,0.09338646,0.87470531,54569,Marker-54569,-0.44920596,0.24225907,1.03551579,54750,Marker-54750,-0.78812379,0.28769419,1.16038382,54815,Marker-54815,-0.72402608,0.41156170,1.02079082,54809,Marker-54809,-0.76143557,0.09347045,1.12597835,54735,Marker-54735,-2.73212576,1.66181946,0.23585403,54814,Marker-54814,-0.60634518,0.05926991,1.01976299,54798,Marker-54798
frame,1,0.00833333,0,11,-0.53918105,0.16512373,0.86815935,54706,Marker-54706,-0.76119286,0.28885972,0.84151030,54787,Marker-54787,-0.58237904,0.35771948,1.15308857,54808,Marker-54808,-0.88517636,0.20997192,0.98853505,54732,Marker-54732,-0.73769647,0.09342986,0.87468147,54569,Marker-54569,-0.44920596,0.24225907,1.03551579,54750,Marker-54750,-0.78830105,0.28774837,1.16036749,54815,Marker-54815,-0.72430873,0.41172740,1.02077281,54809,Marker-54809,-0.76148355,0.09349886,1.12599492,54735,Marker-54735,-2.73212576,1.66181946,0.23585403,54814,Marker-54814,-0.60636801,0.05924149,1.01975882,54798,Marker-54798
frame,2,0.01666667,0,11,-0.54782277,0.17478141,0.86667514,54706,Marker-54706,-0.77359939,0.29190320,0.84043801,54787,Marker-54787,-0.59944797,0.36761603,1.15273678,54808,Marker-54808,-0.88964283,0.20380171,0.98976493,54732,Marker-54732,-0.74222314,0.09641158,0.87304556,54569,Marker-54569,-0.44920596,0.24225907,1.03551579,54750,Marker-54750,-0.80048013,0.29147059,1.15924942,54815,Marker-54815,-0.74372447,0.42310971,1.01954246,54809,Marker-54809,-0.76478171,0.09545010,1.12713099,54735,Marker-54735,-2.73212576,1.66181946,0.23585403,54814,Marker-54814,-0.60793602,0.05728973,1.01947820,54798,Marker-54798
frame,3,0.02500000,0,11,-0.55909282,0.18737637,0.86473954,54706,Marker-54706,-0.78977925,0.29587236,0.83903950,54787,Marker-54787,-0.62170833,0.38052249,1.15227807,54808,Marker-54808,-0.89546794,0.19575489,0.99136883,54732,Marker-54732,-0.74812663,0.10030016,0.87091213,54569,Marker-54569,-0.81636333,0.29632485,1.15779150,54815,Marker-54815,-0.76904541,0.43795383,1.01793790,54809,Marker-54809,-0.76908308,0.09799481,1.12861276,54735,Marker-54735,-0.60998094,0.05474437,1.01911223,54798,Marker-54798,-0.50935060,0.33317661,0.96769631,54816,Marker-54816,-0.58835202,0.18093097,1.18167424,54817,Marker-54817
frame,4,0.03333333,0,11,-0.55909276,0.18737635,0.86473954,54706,Marker-54706,-0.78977919,0.29587236,0.83903950,54787,Marker-54787,-0.62170833,0.38052246,1.15227807,54808,Marker-54808,-0.89546788,0.19575489,0.99136883,54732,Marker-54732,-0.74812663,0.10030016,0.87091208,54569,Marker-54569,-0.81636333,0.29632482,1.15779126,54815,Marker-54815,-0.76904535,0.43795383,1.01793790,54809,Marker-54809,-0.76908302,0.09799480,1.12861264,54735,Marker-54735,-0.60998094,0.05474436,1.01911223,54798,Marker-54798,-0.50935054,0.33317661,0.96769631,54816,Marker-54816,-0.58835202,0.18093097,1.18167424,54817,Marker-54817
frame,5,0.04166667,0,11,-0.55909282,0.18737629,0.86473960,54706,Marker-54706,-0.78978002,0.29587185,0.83903950,54787,Marker-54787,-0.62170869,0.38052195,1.15227795,54808,Marker-54808,-0.89546806,0.19575469,0.99136907,54732,Marker-54732,-0.74812663,0.10030016,0.87091208,54569,Marker-54569,-0.81636333,0.29632485,1.15779138,54815,Marker-54815,-0.76904529,0.43795383,1.01793790,54809,Marker-54809,-0.76908302,0.09799480,1.12861264,54735,Marker-54735,-0.60998082,0.05474446,1.01911223,54798,Marker-54798,-0.50935060,0.33317661,0.96769631,54816,Marker-54816,-0.58835202,0.18093097,1.18167424,54817,Marker-54817
frame,6,0.05000000,0,11,-0.55909300,0.18736643,0.86474895,54706,Marker-54706,-0.78991532,0.29579216,0.83903956,54787,Marker-54787,-0.62176967,0.38043457,1.15226412,54808,Marker-54808,-0.89550006,0.19572391,0.99140084,54732,Marker-54732,-0.74812663,0.10030016,0.87091208,54569,Marker-54569,-0.81636137,0.29632467,1.15779006,54815,Marker-54815,-0.76903558,0.43795484,1.01793158,54809,Marker-54809,-0.76908302,0.09799480,1.12861264,54735,Marker-54735,-0.60996473,0.05475952,1.01909578,54798,Marker-54798,-0.50935060,0.33317661,0.96769631,54816,Marker-54816,-0.58835202,0.18093097,1.18167424,54817,Marker-54817
frame,7,0.05833333,0,10,-0.55909318,0.18735656,0.86475825,54706,Marker-54706,-0.79005051,0.29571247,0.83903950,54787,Marker-54787,-0.62183058,0.38034719,1.15225005,54808,Marker-54808,-0.89553207,0.19569311,0.99143261,54732,Marker-54732,-0.74812663,0.10030016,0.87091208,54569,Marker-54569,-0.81635934,0.29632449,1.15778875,54815,Marker-54815,-0.76902580,0.43795580,1.01792526,54809,Marker-54809,-0.76908302,0.09799480,1.12861264,54735,Marker-54735,-0.60994864,0.05477457,1.01907945,54798,Marker-54798,-0.50935060,0.33317661,0.96769631,54816,Marker-54816
frame,8,0.06666667,0,10,-0.55909324,0.18735354,0.86476105,54706,Marker-54706,-0.79009169,0.29568815,0.83903950,54787,Marker-54787,-0.62184924,0.38032046,1.15224576,54808,Marker-54808,-0.89554179,0.19568372,0.99144226,54732,Marker-54732,-0.74812657,0.10030016,0.87091202,54569,Marker-54569,-0.81635869,0.29632440,1.15778816,54815,Marker-54815,-0.76902282,0.43795609,1.01792336,54809,Marker-54809,-0.76908302,0.09799480,1.12861264,54735,Marker-54735,-0.60994375,0.05477917,1.01907444,54798,Marker-54798,-0.50935060,0.33317661,0.96769631,54816,Marker-54816
frame,9,0.07500000,0,10,-0.55909324,0.18735358,0.86476105,54706,Marker-54706,-0.79009086,0.29568866,0.83903950,54787,Marker-54787,-0.62184882,0.38032109,1.15224576,54808,Marker-54808,-0.89552921,0.19569135,0.99143261,54732,Marker-54732,-0.74812657,0.10030016,0.87091208,54569,Marker-54569,-0.81635875,0.29632443,1.15778816,54815,Marker-54815,-0.76902282,0.43795604,1.01792347,54809,Marker-54809,-0.76908296,0.09799480,1.12861264,54735,Marker-54735,-0.60994381,0.05477910,1.01907456,54798,Marker-54798,-0.50935060,0.33317658,0.96769631,54816,Marker-54816
